
Assembly Code:
      Line         OP          L          M
       152        LOD          0          4
       153        LIT          0          2
       154        OPR          0          3
       155        LIT          0         10
       156        OPR          0          3
       157        STO          0          3
       158        LOD          0          4
       159        LIT          0          2
       160        OPR          0          3
       161        LIT          0         10
       162        OPR          0          3
       163        STO          0          3
       164        LOD          0          4
       165        LIT          0          2
       166        OPR          0          3
       167        LIT          0         10
       168        OPR          0          3
       169        STO          0          3
       170        LOD          0          4
       171        LIT          0          2
       172        OPR          0          3
       173        LIT          0         10
       174        OPR          0          3
       175        STO          0          3
       176        LOD          0          4
       177        LIT          0          2
       178        OPR          0          3
       179        LIT          0         10
       180        OPR          0          3
       181        STO          0          3
       182        LOD          0          4
       183        LIT          0          2
       184        OPR          0          3
       185        LIT          0         10
       186        OPR          0          3
       187        STO          0          3
       188        LOD          0          4
       189        LIT          0          2
       190        OPR          0          3
       191        LIT          0         10
       192        OPR          0          3
       193        STO          0          3
       194        LOD          0          4
       195        LIT          0          2
       196        OPR          0          3
       197        LIT          0         10
       198        OPR          0          3
       199        STO          0          3
       200        LOD          0          4
       201        LIT          0          2
       202        OPR          0          3
       203        LIT          0         10
       204        OPR          0          3
       205        STO          0          3
       206        LOD          0          4
       207        LIT          0          2
       208        OPR          0          3
       209        LIT          0         10
       210        OPR          0          3
       211        STO          0          3
       212        LOD          0          4
       213        LIT          0          2
       214        OPR          0          3
       215        LIT          0         10
       216        OPR          0          3
       217        STO          0          3
       218        LOD          0          4
       219        LIT          0          2
       220        OPR          0          3
       221        LIT          0         10
       222        OPR          0          3
       223        STO          0          3
       224        LOD          0          4
       225        LIT          0          2
       226        OPR          0          3
       227        LIT          0         10
       228        OPR          0          3
       229        STO          0          3
       230        LOD          0          4
       231        LIT          0          2
       232        OPR          0          3
       233        LIT          0         10
       234        OPR          0          3
       235        STO          0          3
       236        LOD          0          4
       237        LIT          0          2
       238        OPR          0          3
       239        LIT          0         10
       240        OPR          0          3
       241        STO          0          3
       242        LOD          0          4
       243        LIT          0          2
       244        OPR          0          3
       245        LIT          0         10
       246        OPR          0          3
       247        STO          0          3
       248        LOD          0          4
       249        LIT          0          2
       250        OPR          0          3
       251        LIT          0         10
       252        OPR          0          3
       253        STO          0          3
       254        LOD          0          4
       255        LIT          0          2
       256        OPR          0          3
       257        LIT          0         10
       258        OPR          0          3
       259        STO          0          3
       260        LOD          0          4
       261        LIT          0          2
       262        OPR          0          3
       263        LIT          0         10
       264        OPR          0          3
       265        STO          0          3
       266        LOD          0          4
       267        LIT          0          2
       268        OPR          0          3
       269        LIT          0         10
       270        OPR          0          3
       271        STO          0          3
       272        LOD          0          4
       273        LIT          0          2
       274        OPR          0          3
       275        LIT          0         10
       276        OPR          0          3
       277        STO          0          3
       278        SYS          0          3

Symbol Table:
      Kind       Name      Value      Level    Address       Mark
         2          x          0          0          3          1
         2          y          0          0          4          1
